dimension,model,scheme,accuracy,accuracy_std,f1,f1_std,roc_auc,roc_auc_std
Valence,RandomForest,stratified,0.6039,0.0566,0.4457,0.0875,0.5991,0.0883
Valence,RandomForest,subject_independent,0.5917,0.0495,0.4563,0.0901,0.604,0.0651
Valence,SVM-RBF,stratified,0.5529,0.0859,0.4667,0.1231,0.5756,0.0975
Valence,SVM-RBF,subject_independent,0.575,0.0554,0.5016,0.1056,0.5916,0.0641
Valence,HistGradientBoosting,stratified,0.5964,0.0575,0.4844,0.0801,0.5893,0.0778
Valence,HistGradientBoosting,subject_independent,0.6144,0.0387,0.486,0.0698,0.6038,0.0494
Valence,LogisticRegression,stratified,0.5192,0.0316,0.4287,0.0396,0.507,0.0573
Valence,LogisticRegression,subject_independent,0.5278,0.0823,0.4285,0.1094,0.508,0.1102
Arousal,RandomForest,stratified,0.5582,0.0622,0.4619,0.0829,0.5278,0.0547
Arousal,RandomForest,subject_independent,0.5122,0.057,0.3776,0.1365,0.4944,0.0772
Arousal,SVM-RBF,stratified,0.5219,0.036,0.4573,0.0744,0.5323,0.0596
Arousal,SVM-RBF,subject_independent,0.505,0.0535,0.4281,0.0566,0.5115,0.0533
Arousal,HistGradientBoosting,stratified,0.5145,0.0234,0.4328,0.0377,0.5011,0.0138
Arousal,HistGradientBoosting,subject_independent,0.4922,0.0434,0.3889,0.1391,0.4928,0.0641
Arousal,LogisticRegression,stratified,0.5507,0.0349,0.5102,0.0247,0.5092,0.0452
Arousal,LogisticRegression,subject_independent,0.4506,0.0438,0.3923,0.0384,0.4462,0.0332
Dominance,RandomForest,stratified,0.594,0.0541,0.5736,0.0536,0.6204,0.0532
Dominance,RandomForest,subject_independent,0.5822,0.0371,0.5326,0.0507,0.6116,0.0229
Dominance,SVM-RBF,stratified,0.5627,0.0335,0.5215,0.0564,0.5806,0.0689
Dominance,SVM-RBF,subject_independent,0.5644,0.031,0.5164,0.0633,0.5967,0.0348
Dominance,HistGradientBoosting,stratified,0.5894,0.0158,0.5705,0.0166,0.6154,0.0111
Dominance,HistGradientBoosting,subject_independent,0.5572,0.0518,0.5218,0.041,0.5941,0.0715
Dominance,LogisticRegression,stratified,0.5047,0.0462,0.476,0.059,0.5119,0.0502
Dominance,LogisticRegression,subject_independent,0.4944,0.0519,0.459,0.0902,0.4978,0.0275
